DocNumber;ProductDesignation
0110000012018;SWEETCORN SOUP
0110000012018;SPRING ROLL
0110000012018;EGG FRIED RICE
0110000012018;SWEET SOUR CHICKEN
0110000012018;LAMB ROGAN JOSH
0110000012018;JIRA PULAO
0110000012018;NAAN
0110000012018;MINERAL WATER 1.5LT
0110000012018;BOUTARI MOSCHOFILERO WHITE
0110000022018;SPRING ROLL
0110000022018;SALT PEPPER PRAWNS
0110000022018;1/2 DUCK
0110000022018;EGG FRIED RICE
0110000022018;STEAMED RICE
0110000022018;SWEET SOUR CHICKEN
0110000022018;PRAWNS WITH GINGER
0110000022018;BEEF BBS
0110000022018;NOODLES WITH MEAT
0110000022018; NO MEAT
0110000022018;CHICK TIKKA MASALA
0110000022018;NAAN
0110000022018;MINERAL WATER 1.5LT
0110000022018;BOUTARI MOSCHOFILERO WHITE
0110000022018;SPRITE
0110000022018;CARLSBERG 33CL
0110000022018;CARLSBERG 33CL
0110000022018;CARLSBERG 33CL
0110000022018;TOFFEE BANANA COMPLEMENTARY
0110000032018;1/6 DUCK
0110000032018;SWEET SOUR CHICKEN
0110000032018;BABY PORK
0110000032018;STEAMED RICE
0110000032018;MINERAL WATER 1.5LT
0110000042018;ONION BADJI
0110000042018;PRAWN PURI
0110000042018;JIRA PULAO
0110000042018;CHICKEN VINDALOO
0110000042018;JUNGLEE MANS
0110000042018;CAULIFLOWER GUNCHAO
0110000042018;PESHWARI NAAN
0110000042018;MINERAL WATER 1.5LT
0110000042018;MINERAL WATER 1.5LT
0110000042018;DRY FRUIT SAFFRON
0110000052018;SAMOSA
0110000052018;PALAK PANEER
0110000052018;JIRA PULAO
0110000052018;ROTI
0110000052018;GLASS WHITE WINE
0110000052018;MINERAL WATER 1.5LT
0110000062018;SPRING ROLL
0110000062018;SALT PEPPER PRAWNS
0110000062018;SESAME PRAWNS
0110000062018;SWEET SOUR CHICKEN
0110000062018;BEEF BBS
0110000062018;EGG FRIED RICE
0110000062018;MINERAL WATER 1.5LT
0110000062018;KEO
0110000072018;NOODLES BEAN SPROUTS
0110000072018;SHRIMP FRIED RICE
0110000072018;PRAWNS BBS
0110000072018;CHICKEN BBS
0110000072018;TIN JIAN STYLE CHICKEN
0110000072018;MINERAL WATER 1.5LT
0110000072018;PETRITIS KYPEROUNDA
0110000072018;ICE CREAM
0110000082018;HOT AND SOUR SOUP
0110000082018;HOT AND SOUR SOUP
0110000082018;NOODLES MUSHROOM SOUP
0110000082018;IMPORTED BEER 33CL
0110000082018;CHINESE BEER 33CL
0110000082018;1/4 DUCK
0110000082018;EGG FRIED RICE
0110000082018;SWEET SOUR CHICKEN
0110000082018;BABY PORK
0110000082018;BEEF BBS
0110000082018;NOODLES WITH MEAT
0110000082018; NO MEAT
0110000082018;CHICKEN VINDALOO
0110000082018;CHINESE BEER 33CL
0110000082018;IMPORTED BEER 33CL
0110000092018;SAMOSA
0110000092018;PRAWN PURI
0110000092018;CHICK TIKKA MASALA
0110000092018;CHICKEN VINDALOO
0110000092018;JIRA PULAO
0110000092018;YELLOW DAL DHABA
0110000092018;KADHAI BHINDI
0110000092018;NAAN
0110000092018;MINERAL WATER 1.5LT
0110000092018;GLASS RED WINE
0110000092018;DIET COKE
0110000092018;COKE ZERO
0110000102018;SAMOSA
0110000102018;CHICKEN VINDALOO
0110000102018;CHICK TIKKA MASALA
0110000102018;LAMB ROGAN JOSH
0110000102018;KADHAI BHINDI
0110000102018;JIRA PULAO
0110000102018;NAAN
0110000102018;MINERAL WATER 1.5LT
0110000102018;DIET COKE
0110000102018;SODA
0110000112018;SPRING ROLL
0110000112018;1/4 DUCK
0110000112018;BEEF BBS
0110000112018;CURRY
0110000112018;LEMON CHICKEN
0110000112018;NOODLES WITH MEAT
0110000112018;EGG FRIED RICE
0110000112018;MINERAL WATER 1.5LT
0110000112018;ANDESITIS RED
0110000112018;MINERAL WATER 1.5LT
0110000112018;EGG FRIED RICE
0110000122018;EEL MAKI
0110000122018;EGG FRIED RICE
0110000122018;SWEET SOUR CHICKEN
0110000122018;BEEF BBS
0110000122018;MINERAL WATER 1.5LT
0110000132018;EGG FRIED RICE
0110000132018;LEMON CHICKEN
0110000132018;SWEET SOUR CHICKEN
0110000132018;MINERAL WATER 1.5LT
0110000132018;GLASS WHITE WINE
0110000142018;SPRING ROLL
0110000142018;SWEET SOUR PORK
0110000142018;NOODLES WITH MEAT
0110000142018;CHICKEN CASHEW NUTS
0110000142018;BEEF PEPPER SAUCE
0110000142018;BEEF OYSTER SAUCE
0110000142018;EGG FRIED RICE
0110000142018;EGG FRIED RICE
0110000142018;MINERAL WATER 1.5LT
0110000142018;VASSILIKON XYNISTERI
0110000152018;SAMOSA CHICKEN
0110000152018;SAMOSA
0110000152018;ALOO PALAK
0110000152018;SHRIMP FRIED RICE
0110000152018;CHICK TIKKA MASALA
0110000152018;CHICK TIKKA MASALA
0110000152018;CHICK TIKKA BHUNA
0110000152018;JIRA PULAO
0110000152018;MINERAL WATER 1.5LT
0110000152018;MINERAL WATER 1.5LT
0110000162018;NOODLES WITH MEAT
0110000162018;BUTTER CHICKEN
0110000162018;CHICK KORMA KASHMIRI
0110000162018;LAMB ROGAN JOSH
0110000162018;STEAMED RICE
0110000162018;JIRA PULAO
0110000162018;NAAN
0110000162018;FOOD
0110000162018;MINERAL WATER 1.5LT
0110000162018;AGIOS OUNOFRIOS RED
0110000162018;MINERAL WATER 1.5LT
0110000162018;MINERAL WATER 1.5LT
0110000172018;NOODLES MUSHROOM SOUP
0110000172018;SPRING ROLL
0110000172018;1/4 DUCK
0110000172018;SWEET SOUR CHICKEN
0110000172018;PORK OYSTER SAUCE
0110000172018;BEEF PEPPER SAUCE
0110000172018;SPECIAL MONTPARNASSE RICE
0110000172018;NOODLES WITH MEAT
0110000172018; NO MEAT
0110000172018;COKE
0110000172018;MINERAL WATER 1.5LT
0110000172018;AG. ANDRONIKOS 37.5CL WHITE
0110000172018;ORANGE JUICE
0110000182018;SWEETCORN SOUP
0110000182018;MIXED PLATTER SUSHI
0110000182018;1/2 DUCK
0110000182018;PORK OYSTER SAUCE
0110000182018;CHICKEN CASHEW NUTS
0110000182018;SWEET SOUR CHICKEN
0110000182018;EGG FRIED RICE
0110000182018;NOODLES WITH MEAT
0110000182018; NO MEAT
0110000182018;MINERAL WATER 1.5LT
0110000182018;COKE ZERO
0110000182018;FRUIT JUICE 30CL
0110000182018;TOFFEE BANANA COMPLEMENTARY
0110000192018;SPRING ROLL
0110000192018;SESAME PRAWNS
0110000192018;BEEF BBS
0110000192018;SWEET SOUR CHICKEN
0110000192018;EGG FRIED RICE
0110000192018;NOODLES WITH MEAT
0110000192018; NO MEAT
0110000192018;MINERAL WATER 1.5LT
0110000192018;IMPORTED BEER 33CL
0110000192018;IMPORTED BEER 33CL
0110000202018;PRAWN PURI
0110000202018;CHICK TIKKA MASALA
0110000202018;MEEN MOILEE
0110000202018;JIRA PULAO
0110000202018;NAAN
0110000202018;MINERAL WATER 1.5LT
0110000202018;SANDORINI BOUTARI
0110000212018;SAMOSA CHICKEN
0110000212018;JIRA PULAO
0110000212018;CHICK TIKKA BHUNA
0110000212018;CHICK TIKKA MASALA
0110000212018;NAAN
0110000212018;MINERAL WATER 1.5LT
0110000212018;VASSILIKON XYNISTERI
0120000012018;FRIED SHREDDED BEEF
0120000012018;MIXED PLATTER SUSHI
0120000012018;1/4 DUCK
0120000012018;BEEF OYSTER SAUCE
0120000012018;EGG FRIED RICE
0120000012018;PERRIER
0120000022018;SPRING ROLL
0120000022018;1/4 DUCK
0120000022018;SPECIAL MONTPARNASSE RICE
0120000022018;SWEET SOUR CHICKEN
0120000022018;BEEF BBS
0120000022018;MINERAL WATER 1.5LT
0120000022018;NOODLES WITH MEAT
0120000022018;MINERAL WATER 1.5LT
0120000022018;MATEUS 37.5CL
0120000032018;TEMPURA MAKI
